item_id,order_id,product_id,quantity,unit_price,discount_percent
1,256,365,2,164.44,10.67
2,505,7,1,766.6,54.15
3,381,323,1,497.42,98.54
4,503,188,5,984.55,91.6
5,591,132,3,63.61,79.93
6,34,515,4,353.82,86.04
7,124,531,2,465.47,68.92
8,389,104,1,332.18,61.28
9,270,243,3,276.71,95.85
10,511,435,3,218.43,70.07
11,411,287,3,456.22,57.14
12,103,277,5,806.05,55.53
13,154,485,4,807.61,17.66
14,530,324,4,787.48,30.0
15,49,408,5,107.99,16.33
16,488,99,2,455.36,33.47
17,571,264,3,350.7,41.18
18,204,179,3,979.58,28.46
19,500,458,3,890.74,38.11
20,149,172,3,644.17,92.86
21,586,415,4,850.41,7.13
22,322,325,2,656.48,71.04
23,278,456,5,783.16,93.88
24,462,424,5,175.64,85.42
25,258,82,2,218.47,39.7
26,485,56,1,36.1,39.7
27,160,87,1,658.28,88.55
28,291,454,3,630.22,13.13
29,366,334,-2,865.6,46.72
30,562,456,5,143.76,94.85
31,468,446,5,528.23,63.95
32,494,233,3,806.66,44.19
33,160,311,3,20.45,52.33
34,481,9,2,690.89,49.19
35,441,300,4,601.03,79.68
36,422,448,5,400.8,16.33
37,226,270,4,88.42,62.53
38,279,292,5,651.97,53.19
39,71,187,3,145.26,11.04
40,279,504,4,195.91,1.94
41,23,191,1,972.61,28.21
42,9,239,2,99.3,1.47
43,320,511,2,997.98,46.37
44,150,58,1,273.84,39.24
45,197,257,5,819.08,82.83
46,255,395,1,773.51,44.3
47,97,534,1,669.35,20.84
48,320,331,4,167.03,72.82
49,260,493,5,642.13,19.87
50,224,116,1,243.61,43.42
51,283,123,1,401.85,24.31
52,487,159,1,377.68,8.95
53,347,62,2,69.18,64.46
54,129,500,5,240.35,98.17
55,450,198,3,31.14,37.78
56,41,497,2,709.56,55.9
57,195,192,5,548.18,32.37
58,568,165,4,78.19,15.5
59,555,376,3,459.54,77.59
60,190,20,5,623.54,36.41
61,65,397,5,197.97,68.32
62,290,331,5,415.71,32.2
63,69,45,1,836.84,12.98
64,498,197,1,107.77,57.1
65,539,263,4,58.59,22.07
66,214,504,-1,929.12,83.21
67,63,370,4,562.44,93.82
68,60,273,4,533.73,73.43
69,222,532,3,106.15,72.52
70,198,539,5,660.31,57.0
71,572,426,2,748.65,76.63
72,470,438,5,884.0,16.68
73,517,346,2,660.96,53.39
74,361,323,5,554.58,99.69
75,441,332,3,612.33,56.31
76,564,261,2,366.41,45.24
77,36,292,-4,599.81,51.76
78,228,220,-3,857.16,2.17
79,524,159,3,103.34,46.04
80,376,256,2,240.66,81.11
81,583,223,1,736.92,72.36
82,591,98,4,599.28,30.04
83,58,343,5,354.45,81.71
84,124,233,4,750.2,84.95
85,392,56,1,311.74,4.12
86,335,515,5,700.79,15.32
87,590,517,4,99.18,43.19
88,345,85,4,481.1,74.53
89,88,409,5,506.8,77.38
90,493,203,2,492.98,65.22
91,537,253,2,249.89,26.63
92,590,92,4,121.4,41.36
93,329,353,3,597.94,2.42
94,359,453,3,626.95,44.05
95,383,160,2,760.16,85.28
96,249,152,1,870.06,82.01
97,114,313,1,455.56,2.27
98,217,209,2,550.96,75.04
99,145,19,5,382.84,90.6
100,175,62,5,291.17,78.92
101,477,9,5,75.93,66.04
102,20,300,3,868.74,64.94
103,521,102,2,904.83,48.47
104,191,204,5,505.64,45.8
105,543,313,1,340.23,39.34
106,361,364,-2,628.98,23.62
107,64,264,5,879.89,89.04
108,287,231,1,160.19,89.72
109,392,534,2,961.0,61.24
110,587,157,2,432.2,31.24
111,556,135,5,214.69,13.86
112,208,142,5,315.91,70.51
113,441,149,5,659.67,56.48
114,571,122,2,192.29,83.95
115,327,424,2,961.58,30.33
116,193,110,3,140.23,2.62
117,581,237,5,600.4,23.09
118,489,138,1,507.3,60.47
119,397,504,3,479.11,16.38
120,16,277,2,950.7,22.26
121,68,182,2,927.83,98.56
122,333,469,5,888.71,42.76
123,390,321,1,400.21,93.91
124,538,40,5,525.44,45.16
125,252,532,1,542.49,98.38
126,529,51,1,197.95,43.96
127,293,473,3,174.82,29.44
128,146,475,1,831.59,45.17
129,600,139,5,399.14,32.35
130,207,466,1,99.28,32.41
131,127,94,2,123.02,44.94
132,394,524,3,615.95,15.99
133,175,344,5,569.84,65.95
134,149,184,2,771.47,5.13
135,457,296,3,630.19,11.76
136,4,260,2,22.09,49.76
137,6,506,4,245.5,58.89
138,453,82,4,605.2,0.66
139,571,213,5,58.43,14.83
140,34,306,3,337.8,8.77
141,183,166,1,675.37,61.11
142,576,182,5,966.63,74.93
143,96,307,3,329.59,89.75
144,564,67,1,299.9,13.45
145,424,538,3,217.75,20.91
146,542,90,1,488.83,68.87
147,325,266,3,530.14,99.5
148,577,509,3,524.51,63.19
149,239,298,4,979.47,0.16
150,121,213,1,801.57,99.9
151,359,218,4,21.18,20.12
152,70,316,3,307.28,55.0
153,342,350,1,402.09,56.89
154,199,339,1,835.49,92.23
155,37,140,4,486.68,62.72
156,474,424,5,928.51,5.6
157,324,20,5,216.18,68.55
158,153,288,3,842.33,33.92
159,170,399,4,195.51,11.68
160,323,33,3,278.78,8.68
161,310,222,2,529.85,17.5
162,207,95,3,449.34,2.49
163,158,195,4,346.71,48.35
164,336,147,5,771.79,9.83
165,136,211,5,727.32,45.94
166,319,46,5,690.18,59.43
167,48,106,1,525.37,65.9
168,320,215,-3,327.67,19.25
169,452,121,3,279.93,15.75
170,574,527,-1,111.35,54.25
171,145,291,5,578.34,17.13
172,347,455,3,60.22,2.9
173,56,89,1,432.2,17.9
174,457,365,5,319.32,81.74
175,477,135,5,101.99,80.24
176,318,477,4,475.84,94.74
177,265,373,2,398.16,69.96
178,333,465,3,492.63,6.54
179,473,175,1,289.43,34.86
180,106,416,5,819.38,79.68
181,73,310,3,537.42,40.08
182,250,163,4,974.15,38.38
183,442,446,3,571.54,34.22
184,80,499,2,123.18,59.61
185,456,181,3,314.96,40.58
186,389,336,5,499.35,66.02
187,143,1,1,759.51,66.09
188,400,458,4,203.71,68.15
189,312,446,3,720.61,91.51
190,523,414,1,849.16,85.25
191,563,55,1,10.83,56.0
192,289,32,3,242.89,70.22
193,392,416,4,387.75,54.51
194,193,394,2,844.89,36.03
195,129,138,4,21.49,64.84
196,499,448,2,975.23,13.58
197,426,467,2,894.65,69.54
198,466,522,4,429.88,82.01
199,191,435,4,608.53,57.79
200,276,421,2,927.3,57.64
201,582,495,1,707.83,11.32
202,82,146,4,732.88,52.64
203,81,536,3,891.02,8.84
204,80,320,4,616.91,90.36
205,481,465,5,517.54,46.92
206,302,297,3,175.83,69.51
207,578,267,5,70.8,47.32
208,299,28,2,293.95,8.25
209,285,259,5,141.21,28.1
210,115,179,-3,911.03,73.9
211,180,268,4,784.7,23.62
212,34,352,2,984.23,96.73
213,158,508,5,755.23,41.29
214,451,172,4,218.75,73.44
215,271,119,3,62.0,46.4
216,546,240,4,386.0,70.56
217,544,446,4,21.74,92.72
218,324,43,4,106.39,53.13
219,443,280,3,341.62,26.71
220,599,401,1,466.5,67.53
221,200,533,2,344.03,69.03
222,11,9,2,833.37,1.2
223,457,360,1,227.22,28.33
224,95,59,2,939.12,65.66
225,125,123,2,95.52,60.47
226,580,190,4,897.04,69.57
227,78,465,3,923.47,27.64
228,332,264,4,170.35,7.4
229,341,62,1,265.66,81.28
230,504,206,2,614.2,17.84
231,554,442,4,226.2,64.33
232,106,36,4,82.19,57.13
233,20,510,3,157.37,64.03
234,273,156,1,703.05,90.46
235,503,490,-5,441.7,84.4
