order_id,customer_id,order_date,status,region_code
1,148.0,20-10-2025 15:37:22,DELIVERED,S
2,427.0,2026-05-10 13:58:43,RETURNED,E
3,70.0,2026-02-21 10:47:44,RETURNED,C
4,21.0,2026-07-25 14:42:03,CANCELLED,E
5,260.0,2025-10-01 20:49:08,PLACED,E
6,247.0,2025-11-15 19:43:24,RETURNED,E
7,,2025-10-31 04:58:54,SHIPPED,W
8,491.0,2026-05-23 15:35:14,PLACED,W
9,38.0,11-01-2026 01:54:39,SHIPPED,N
10,324.0,2025-09-03 05:50:25,RETURNED,W
11,,2026-01-20 21:22:39,DELIVERED,E
12,49.0,2025-09-10 15:13:03,PLACED,E
13,448.0,2026-06-15 22:42:49,CANCELLED,E
14,192.0,2026-07-05 07:09:10,RETURNED,E
15,85.0,23-09-2025 09:46:19,RETURNED,S
16,301.0,26-12-2025 10:49:56,DELIVERED,E
17,457.0,2026-01-08 21:19:21,CANCELLED,E
18,,2026-07-20 09:34:33,DELIVERED,C
19,446.0,2025-12-04 09:55:57,PLACED,N
20,416.0,2026-04-02 02:44:13,SHIPPED,N
21,147.0,2026-01-31 12:34:42,CANCELLED,N
22,130.0,2025-10-27 00:10:31,DELIVERED,E
23,393.0,22-01-2026 08:06:43,SHIPPED,W
24,380.0,2025-11-01 03:14:32,RETURNED,S
25,376.0,2026-01-16 05:20:24,SHIPPED,N
26,27.0,2025-09-08 06:59:17,CANCELLED,C
27,121.0,2025-10-13 00:06:19,CANCELLED,S
28,293.0,2026-04-30 03:35:00,SHIPPED,N
29,139.0,2025-12-06 12:33:46,CANCELLED,N
30,328.0,2026-06-30 23:28:27,RETURNED,C
31,298.0,2026-05-15 02:39:17,SHIPPED,E
32,230.0,2026-02-26 06:05:22,SHIPPED,S
33,,2025-11-26 03:07:26,DELIVERED,W
34,133.0,15-10-2025 13:31:04,DELIVERED,W
35,491.0,2026-01-09 20:40:57,RETURNED,N
36,129.0,2025-08-18 06:55:45,CANCELLED,W
37,353.0,2026-07-08 03:39:26,RETURNED,C
38,187.0,2026-03-02 09:20:19,RETURNED,N
39,128.0,2026-03-01 06:34:38,SHIPPED,E
40,231.0,2025-10-13 01:14:31,DELIVERED,N
41,257.0,2026-01-22 06:54:38,DELIVERED,S
42,311.0,24-02-2026 08:53:00,SHIPPED,C
43,158.0,2026-07-10 14:20:16,RETURNED,E
44,43.0,09-02-2026 22:07:27,PLACED,C
45,272.0,2026-04-13 01:20:46,CANCELLED,C
46,32.0,2026-07-01 00:07:41,DELIVERED,E
47,495.0,2026-04-30 21:27:13,CANCELLED,E
48,465.0,07-05-2026 03:22:44,CANCELLED,W
49,496.0,2026-07-27 02:59:38,SHIPPED,E
50,327.0,2025-09-25 05:43:49,CANCELLED,S
51,380.0,2025-11-11 13:27:04,SHIPPED,W
52,126.0,2025-08-12 07:08:38,PLACED,N
53,298.0,2025-12-18 22:31:27,CANCELLED,S
54,164.0,2025-12-14 07:28:40,DELIVERED,S
55,164.0,2026-06-27 04:12:05,CANCELLED,E
56,,2025-12-02 21:09:42,RETURNED,W
57,247.0,2026-03-11 19:35:57,PLACED,E
58,507.0,2025-09-02 22:49:17,CANCELLED,E
