product_id,product_name,category,subcategory,cost_price
1,Popular Mobile,Electronics,Mobiles,342.49
2,Skill Mobile,Electronics,Mobiles,94.13
3,Activity Mobile,Electronics,Mobiles,91.66
4,Behavior Mobile,Electronics,Mobiles,306.7
5,Call Mobile,Electronics,Mobiles,194.36
6,Him Mobile,Electronics,Mobiles,343.15
7,Style Mobile,Electronics,Mobiles,251.35
8,Response Mobile,Electronics,Mobiles,293.66
9,Laugh Mobile,Electronics,Mobiles,119.93
10,Value Mobile,Electronics,Mobiles,320.76
11,Follow Mobile,Electronics,Mobiles,232.49
12,Image Mobile,Electronics,Mobiles,335.09
13,Easy Mobile,Electronics,Mobiles,449.96
14,Away Mobile,Electronics,Mobiles,235.3
15,Approach Mobile,Electronics,Mobiles,147.38
16,Imagine Mobile,Electronics,Mobiles,275.57
17,View Mobile,Electronics,Mobiles,41.56
18,Quite Mobile,Electronics,Mobiles,472.89
19,Others Mobile,Electronics,Mobiles,493.89
20,Source Mobile,Electronics,Mobiles,153.08
21,Success Mobile,Electronics,Mobiles,481.2
22,Travel Mobile,Electronics,Mobiles,346.71
23,Condition Mobile,Electronics,Mobiles,231.13
24,Ago Mobile,Electronics,Mobiles,154.55
25,Process Mobile,Electronics,Mobiles,499.69
26,Listen Mobile,Electronics,Mobiles,427.4
27,Spend Mobile,Electronics,Mobiles,57.79
28,Enjoy Mobile,Electronics,Mobiles,193.78
29,Act Mobile,Electronics,Mobiles,182.68
30,Win Mobile,Electronics,Mobiles,151.46
31,Talk Mobile,Electronics,Mobiles,351.14
32,Here Mobile,Electronics,Mobiles,15.86
33,Professor Mobile,Electronics,Mobiles,415.87
34,Pay Mobile,Electronics,Mobiles,200.92
35,Politics Mobile,Electronics,Mobiles,9.01
36,Against Mobile,Electronics,Mobiles,433.21
37,Sell Mobile,Electronics,Mobiles,390.26
38,Use Mobile,Electronics,Mobiles,486.93
39,Deep Mobile,Electronics,Mobiles,455.76
40,To Mobile,Electronics,Mobiles,373.86
41,Far Mobile,Electronics,Mobiles,417.26
42,Remember Mobile,Electronics,Mobiles,451.95
43,Image Mobile,Electronics,Mobiles,388.99
44,Every Mobile,Electronics,Mobiles,118.91
45,Number Mobile,Electronics,Mobiles,401.96
46,Nice Laptop,Electronics,Laptops,113.41
47,Back Laptop,Electronics,Laptops,99.12
48,Natural Laptop,Electronics,Laptops,129.06
49,Read Laptop,Electronics,Laptops,379.01
50,Accept Laptop,Electronics,Laptops,384.9
51,With Laptop,Electronics,Laptops,342.02
52,Especially Laptop,Electronics,Laptops,72.71
53,Foreign Laptop,Electronics,Laptops,53.1
54,Above Laptop,Electronics,Laptops,315.59
55,Factor Laptop,Electronics,Laptops,24.51
56,Mention Laptop,Electronics,Laptops,395.36
57,Painting Laptop,Electronics,Laptops,21.52
58,Development Laptop,Electronics,Laptops,185.61
59,Discussion Laptop,Electronics,Laptops,70.05
60,Serious Laptop,Electronics,Laptops,455.27
61,Study Laptop,Electronics,Laptops,166.73
62,Practice Laptop,Electronics,Laptops,210.67
63,Well Laptop,Electronics,Laptops,104.39
64,Decade Laptop,Electronics,Laptops,394.32
65,Child Laptop,Electronics,Laptops,438.85
66,Keep Laptop,Electronics,Laptops,186.1
67,Alone Laptop,Electronics,Laptops,253.39
68,Subject Laptop,Electronics,Laptops,139.9
69,Allow Laptop,Electronics,Laptops,86.45
70,Suddenly Laptop,Electronics,Laptops,457.45
71,Growth Laptop,Electronics,Laptops,472.37
72,Operation Laptop,Electronics,Laptops,483.86
73,Remain Laptop,Electronics,Laptops,151.1
74,Fall Laptop,Electronics,Laptops,435.85
75,Part Laptop,Electronics,Laptops,403.1
76,And Laptop,Electronics,Laptops,236.82
77,Statement Laptop,Electronics,Laptops,42.27
78,Out Laptop,Electronics,Laptops,378.3
79,Military Laptop,Electronics,Laptops,116.68
80,Nothing Laptop,Electronics,Laptops,339.78
81,Since Laptop,Electronics,Laptops,338.83
82,Interview Laptop,Electronics,Laptops,201.72
83,Guy Laptop,Electronics,Laptops,423.64
84,To Laptop,Electronics,Laptops,280.87
85,Exactly Laptop,Electronics,Laptops,49.7
86,Mission Laptop,Electronics,Laptops,200.31
87,Administration Laptop,Electronics,Laptops,135.91
88,Majority Laptop,Electronics,Laptops,66.18
89,Possible Laptop,Electronics,Laptops,187.45
90,Possible Laptop,Electronics,Laptops,375.76
91,Cause Accessorie,Electronics,Accessories,134.77
92,Down Accessorie,Electronics,Accessories,193.61
93,Maintain Accessorie,Electronics,Accessories,321.08
94,Too Accessorie,Electronics,Accessories,188.88
95,Upon Accessorie,Electronics,Accessories,339.04
96,Scientist Accessorie,Electronics,Accessories,238.38
97,Democrat Accessorie,Electronics,Accessories,311.68
